name,age,minutes_played_per_game,rebounds_per_game,assists_per_game,points_per_game
Admiral Schofield,25,12.2,1.7,0.8,4.2
Damian Lillard,32,36.3,4.8,7.3,32.2
Daniel Gafford,24,20.6,5.6,1.1,9
Devin Booker,26,34.6,4.5,5.5,27.8
Dru Smith,25,9.1,1.5,1.7,3.3
Eugene Omoruyi,25,11.8,2.3,0.5,4.9
Giannis Antetokounmpo,28,32.1,11.8,5.7,31.1
Immanuel Quickley,23,28.9,4.2,3.4,14.9
Jae Crowder,32,18.9,3.8,1.5,6.9
Jaylen Brown,26,35.9,6.9,3.5,26.6
Jayson Tatum,24,36.9,8.8,4.6,30.1
Jericho Sims,24,15.6,4.7,0.5,3.4
Joe Ingles,35,22.7,2.8,3.3,6.9
Joel Embiid,28,34.6,10.2,4.2,33.1
Kenneth Lofton Jr.,20,7.3,2.1,0.8,5
Kevin Durant,34,35.6,6.7,5,29.1
Kyrie Irving,30,37.4,5.1,5.5,27.1
LeBron James,38,35.5,8.3,6.8,28.9
Luka Dončić,23,36.2,8.6,8,32.4
Mike Muscala,31,14.5,3.1,0.9,6.2
Nikola Jokić,27,33.7,11.8,9.8,24.5
Shai Gilgeous-Alexander,24,35.5,4.8,5.5,31.4
Stephen Curry,34,34.7,6.1,6.3,29.4
Tony Bradley,25,2.8,0.9,0.1,1.6
Trae Young,24,34.8,3,10.2,26.2
Patrick Williams,21,28.3,4,1.2,10.2
Damion Lee,30,20.4,3,1.3,8.2
James Bouknight,22,15.1,2.1,1.2,5.6
Keegan Murray,22,29.8,4.6,1.2,12.2
Lauri Markkanen,25,34.4,8.6,1.9,25.6
Quentin Grimes,22,29.9,3.2,2.1,11.3
Jaylin Williams,20,18.7,4.9,1.6,5.9
Victor Oladipo,30,26.3,3,3.5,10.7
Tim Hardaway Jr.,30,30.3,3.5,1.8,14.4
David Roddy,21,18,2.8,0.8,6.7
John Wall,32,22.2,2.7,5.2,11.4
Grant Williams,24,25.9,4.6,1.7,8.1
De'Andre Hunter,25,31.7,4.2,1.4,15.4
Edmond Sumner,27,13.9,1.5,1.3,7.1
Jaden Ivey,20,31.1,3.9,5.2,16.3
De'Anthony Melton,24,27.9,4.1,2.6,10.1
Devin Vassell,22,31,3.9,3.6,18.5
Theo Pinson,27,8.1,1.6,1.2,2.4
Dwight Powell,31,19.2,4.1,0.9,6.7
Andre Drummond,29,12.7,6.6,0.5,6
Oshae Brissett,24,16.7,3.4,0.7,6.1
Yuta Watanabe,28,16,2.4,0.8,5.6
Austin Reaves,24,28.8,3,3.4,13
Jalen Johnson,21,14.9,4,1.2,5.6
Keita Bates-Diop,27,21.7,3.7,1.5,9.7
